term,category,meaning,source,primary_aspect,secondary_aspect,annotation_notes
алкаш,insult,alcoholic,Telegram,Classism / Social status insult,Substance-related stigma,"Insult based on social position, marginality, or lifestyle stigma."
безмозглий,insult,brainless,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
бидло,insult,derogatory term,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
бля,masked,shortened form,Telegram,Obfuscated offensive form,-,Masked spelling used to bypass moderation or soften visual form.
блядь,profanity,variant spelling,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
блять,profanity,vulgar interjection,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
бляха,euphemism,softened profanity,Wiktionary,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
божевільний,insult,insane,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
бомж,insult,homeless insult,Telegram,Classism / Social status insult,-,"Insult based on social position, marginality, or lifestyle stigma."
боягуз,insult,coward,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
вбийся,threat,kill yourself,Telegram,Threat / Harm,-,Self-harm expression / direct hostile command.
виродок,insult,freak,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
гавно,profanity,variant,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
гандон,insult,condom insult,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
гандони,insult,condoms insult,Telegram,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
гидота,insult,gross,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
гівно,profanity,shit,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
гімно,profanity,variant,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
гнида,insult,parasite insult,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
гнилий,insult,rotten,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
говняний,insult,shitty,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
гомік,hate,slur,Wiktionary,Homophobia,-,Targets sexual orientation.
даун,hate,slur,Telegram,Ableism / Intelligence insult,-,Ableist insult based on disability.
даунік,hate,variant,Telegram,Ableism / Intelligence insult,-,Ableist variant.
дебік,insult,slang idiot,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
дебіл,insult,idiot,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
дебілка,insult,female idiot,Telegram,Misogyny / Sexism,Ableism,Aspect assigned according to common offensive usage.
дебільний,insult,stupid,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
дідько,insult,devil,Wiktionary,Religious / devil-based insult,-,Aspect assigned according to common offensive usage.
дрочер,sexual,insult,Telegram,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
дрочити,sexual,vulgar verb,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
дурень,insult,fool,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
дурепа,insult,female insult,Wiktionary,Misogyny / Sexism,-,Aspect assigned according to common offensive usage.
дурка,insult,crazy place slang,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
дурня,insult,nonsense,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
єбаний,profanity,offensive adjective,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
єбанутий,insult,crazy,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
єбашити,profanity,to hit/work hard (vulgar),Telegram,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
єблан,insult,idiot,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
жалюгідний,insult,pathetic,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
закопаю,threat,threat,Telegram,Threat / Harm,-,"Expression of harm, violence, or death-related aggression."
зараза,insult,pest,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
засранець,insult,dirty person,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
засраний,insult,dirty,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
здохни,threat,die,Telegram,Threat / Harm,Death wish,"Expression of harm, violence, or death-related aggression."
здохни тварюка,threat,strong threat,Telegram,Threat / Harm,Death wish,"Expression of harm, violence, or death-related aggression."
знищу,threat,threat,Telegram,Threat / Harm,-,"Expression of harm, violence, or death-related aggression."
іди нахуй,profanity,variant,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
ідіот,insult,idiot,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
ідіотизм,insult,stupidity,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
ідіотина,insult,strong insult,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
ідіотський,insult,adjective,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
імбецил,insult,insult,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
їб твою мать,profanity,insult phrase,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
їбать,profanity,vulgar verb,Wiktionary,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
їбашити,profanity,variant,Telegram,Sexual vulgarity,-,Offensive expression connected to sexual meaning or body references.
йди в жопу,profanity,insult phrase,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
йди нахер,euphemism,softer variant,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
йолоп,insult,fool,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
йолопина,insult,variant,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
йолопський,insult,adjective,Telegram,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
козел,insult,jerk,Wiktionary,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
козлина,insult,goat insult,Telegram,Dehumanization / Animalization,-,"Insult that compares a person to an animal, object, or parasite."
конч,masked,shortened insult,Telegram,Obfuscated offensive form,-,Masked spelling used to bypass moderation or soften visual form.
кончений,insult,hopeless,Wiktionary,General insult,-,Personal insult without a clearly protected-group target.
кретин,insult,idiot,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
кретинський,insult,adjective,Wiktionary,Ableism / Intelligence insult,-,"Insult based on stupidity, mental state, or perceived ability."
курва,insult,vulgar insult,Wiktionary,Misogyny / Sexism,Sexual degradation,Gendered sexual insult in many contexts.
курва мать,profanity,phrase insult,Telegram,Profanity / Vulgarity,-,General vulgar expression or obscene intensifier.
лайно,profanity,shit,Wiktionary,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
лайняний,insult,dirty,Telegram,Scatological vulgarity,-,Offensive expression connected to excretion or dirt.
